"taxon","glottocode","soc_ids"
"tiwi1244","tiwi1244","SCCS90"
"east2379","east2379","SCCS91"
"ekar1243","ekar1243","SCCS94"
"tobe1252","tobe1252","SCCS88"
"misk1235","misk1235","SCCS156"
"natc1249","natc1249","SCCS146"
"furr1244","furr1244","SCCS29"
"carn1240","carn1240","SCCS78"
"sant1410","sant1410","SCCS62"
"kens1248","kens1248","SCCS77"
"viet1252","viet1252","SCCS73"
"lame1256","lame1256","SCCS72"
"thai1261","thai1261","SCCS76"
"atay1247","atay1247","SCCS113"
"pamo1252","pamo1252","SCCS87"
"pala1344","pala1344","SCCS111"
"java1254","java1254","SCCS83"
"bali1278","bali1278","SCCS84"
"rade1240","rade1240","SCCS74"
"iban1264","iban1264","SCCS85"
"sout2918","sout2918","SCCS86"
"chuu1238","chuu1238","SCCS109"
"kili1267","kili1267","SCCS98"
"ajie1238","ajie1238","SCCS103"
"saaa1241","saaa1241","SCCS101"
"yape1248","yape1248","SCCS110"
"tita1241","tita1241","SCCS96"
"tiko1237","tiko1237","SCCS100"
"samo1305","samo1305","SCCS106"
"maor1246","maor1246","SCCS104"
"nort2845","nort2845","SCCS105"
"teda1241","teda1241","SCCS40"
"abui1241","abui1241","SCCS89"
"siwa1245","siwa1245","SCCS99"
"kwom1262","kwom1262","SCCS95"
"gily1242","gily1242","SCCS119"
"kima1246","kima1246","SCCS93"
"bord1248","bord1248",NA
"brib1243","brib1243","SCCS157"
"cube1242","cube1242","SCCS167"
"tehu1242","tehu1242","SCCS185"
"kren1239","kren1239","SCCS178"
"xokl1240","xokl1240","SCCS180"
"xava1240","xava1240","SCCS179"
"cane1242","cane1242","SCCS176"
"trum1247","trum1247","SCCS175"
"mund1330","mund1330","SCCS166"
"mbya1239","mbya1239","SCCS181"
"tupi1273","tupi1273","SCCS177"
"siri1273","siri1273","SCCS173"
"wayu1243","wayu1243","SCCS159"
"isla1278","isla1278","SCCS161"
"akab1249","akab1249","SCCS79"
"wara1303","wara1303","SCCS162"
"amah1246","amah1246","SCCS170"
"ainu1240","ainu1240","SCCS118"
"cent2142","cent2142","SCCS172"
"cusc1236","cusc1236","SCCS171"
"zuni1245","zuni1245","SCCS149"
"high1276","high1276","SCCS154"
"pawn1254","pawn1254","SCCS142"
"wyan1247","wyan1247","SCCS144"
"hida1246","hida1246","SCCS141"
"abkh1244","abkh1244","SCCS55"
"sout2994","sout2994","SCCS174"
"eyak1241","eyak1241","SCCS130"
"mesc1238","mesc1238","SCCS148"
"sout2959","sout2959","SCCS128"
"klam1254","klam1254","SCCS138"
"chac1249","chac1249","SCCS168"
"yama1264","yama1264","SCCS186"
"shua1257","shua1257","SCCS169"
"kute1249","kute1249","SCCS139"
"bell1243","bell1243","SCCS132"
"twan1247","twan1247","SCCS133"
"east2545","east2545","SCCS135"
"coma1245","coma1245","SCCS147"
"huic1243","huic1243","SCCS152"
"clas1250","clas1250","SCCS153"
"yano1261","yano1261","SCCS163"
"nucl1643","nucl1643","SCCS117"
"yuro1248","yuro1248","SCCS134"
"gros1243","gros1243","SCCS140"
"mikm1235","mikm1235","SCCS126"
"mont1268","mont1268","SCCS125"
"nort2971","nort2971","SCCS182"
"cree1270","cree1270","SCCS145"
"kich1262","kich1262","SCCS155"
"masa1300","masa1300","SCCS34"
"shil1265","shil1265","SCCS31"
"otor1240","otor1240","SCCS30"
"wuch1236","wuch1236","SCCS114"
"garo1247","garo1247","SCCS69"
"mara1382","mara1382","SCCS70"
"lepc1244","lepc1244","SCCS68"
"nucl1310","nucl1310","SCCS71"
"sich1238","sich1238","SCCS67"
"mapu1245","mapu1245","SCCS184"
"buru1296","buru1296","SCCS64"
"kore1280","kore1280","SCCS116"
"nene1249","nene1249","SCCS53"
"nort2671","nort2671","SCCS52"
"nort2745","nort2745","SCCS120"
"kaza1248","kaza1248","SCCS65"
"nucl1301","nucl1301","SCCS47"
"mari1414","mari1414","SCCS60"
"toda1252","toda1252","SCCS61"
"halh1238","halh1238","SCCS66"
"manc1252","manc1252","SCCS115"
"chuk1273","chuk1273","SCCS121"
"iris1253","iris1253","SCCS51"
"gheg1238","gheg1238","SCCS48"
"lati1261","lati1261","SCCS49"
"russ1263","russ1263","SCCS54"
"nucl1235","nucl1235","SCCS56"
"cent1972","cent1972","SCCS57"
"vedd1240","vedd1240","SCCS80"
"bhoj1244","bhoj1244","SCCS63"
"west2386","west2386","SCCS59"
"koyr1242","koyr1242","SCCS24"
"hozo1236","hozo1236","SCCS32"
"kafa1242","kafa1242","SCCS33"
"kons1243","kons1243","SCCS35"
"masa1322","masa1322","SCCS27"
"tari1263","tari1263","SCCS42"
"akka1240","akka1240","SCCS45"
"amha1245","amha1245","SCCS37"
"anci1244","anci1244","SCCS44"
"egyp1253","egyp1253","SCCS43"
"hadz1240","hadz1240","SCCS9"
"juho1239","juho1239","SCCS2"
"mend1266","mend1266","SCCS20"
"bamb1269","bamb1269","SCCS22"
"nucl1347","nucl1347","SCCS21"
"zand1248","zand1248","SCCS28"
"fonn1241","fonn1241","SCCS18"
"nucl1417","nucl1417","SCCS17"
"tivv1240","tivv1240","SCCS16"
"tune1261","tune1261","SCCS15"
"lozi1239","lozi1239","SCCS4"
"tson1249","tson1249","SCCS3"
"gand1255","gand1255","SCCS12"
"kiku1240","kiku1240","SCCS11"
"lugu1238","lugu1238","SCCS10"
"umbu1257","umbu1257","SCCS5"
"suku1259","suku1259","SCCS6"
